Repos,id,stars,forks,commits,contributors,releases,branches,open_pulls,closed_pulls,open_issues,closed_issues,size,archived,created_at,updated_at,age,language,,pull_requests,issues
AchintyaX/NumpyStack,158652328,9,2,52,0,0,8,0,6,0,0,9306,FALSE,11/22/2018 0:00,2/6/2021 0:00,27,Jupyter Notebook,,6,0
oliso/ECG-Wave-Classification,251668674,2,1,7,0,0,0,0,0,0,0,131,FALSE,3/31/2020 0:00,2/23/2021 0:00,11,Python,,0,0
AarohiSingla/Chat-bot-using-Database,283817274,7,12,2,0,0,0,0,0,0,0,822,FALSE,7/30/2020 0:00,10/31/2022 0:00,27,Python,,0,0
MR-HosseinzadehTaher/BenchmarkTransferLearning,394878220,30,12,25,0,0,0,0,0,4,1,1183,FALSE,8/11/2021 0:00,2/20/2023 0:00,18,Python,,0,5
anshulpaigwar/GndNet,292220773,123,25,19,0,0,0,0,0,5,4,42145,FALSE,9/2/2020 0:00,3/16/2023 0:00,30,Python,,0,9
meetpramodr/Introduction-to-Artificial-Neural-Network-and-Deep-Learning,201618799,2,9,10,0,0,0,0,0,0,0,330,FALSE,8/10/2019 0:00,8/26/2019 0:00,0,Jupyter Notebook,,0,0
lightingghost/chemopt,115760035,98,40,4,0,0,0,1,0,3,7,65,FALSE,12/29/2017 0:00,2/7/2023 0:00,62,Python,,1,10
ml-jku/oeaw_ai_summer_school,259853662,16,9,3,0,0,0,0,0,0,0,50962,FALSE,4/29/2020 0:00,7/21/2022 0:00,27,,,0,0
DomenicoColandrea86/xkeyscore,94571415,1,1,21,0,0,4,1,0,0,0,4738,FALSE,6/16/2017 0:00,4/4/2020 0:00,34,JavaScript,,1,0
a-doering/learning-inverse-kinematics,361199433,9,1,147,2,0,12,0,12,0,0,6166,FALSE,4/24/2021 0:00,2/21/2023 0:00,22,Python,,12,0
Aditya-Rajgor/Personal-Projects,295087707,4,5,190,2,0,2,0,2,0,0,8309,FALSE,9/13/2020 0:00,10/1/2021 0:00,13,Jupyter Notebook,,2,0
charlie2951/ML_micropython,500153893,2,3,15,0,0,2,0,1,0,0,42,FALSE,6/5/2022 0:00,10/9/2022 0:00,4,Jupyter Notebook,,1,0
andersfagerli/CodeSLAM,447618764,9,1,15,0,0,0,0,0,0,0,654,FALSE,1/13/2022 0:00,3/13/2023 0:00,14,Python,,0,0
PeterKoka1/Deep-Learning-Book,121585432,5,2,27,0,0,0,0,0,0,0,436,FALSE,2/15/2018 0:00,3/3/2020 0:00,25,Jupyter Notebook,,0,0
stogaja/Python-ML-Projects,457767157,1,1,80,0,0,0,0,0,0,1,51001,FALSE,2/10/2022 0:00,6/3/2022 0:00,4,Jupyter Notebook,,0,1
abhiguptame/Deep-Learning-Project-On-Image-classification,144221560,1,1,2,0,0,0,0,0,0,0,49,FALSE,8/10/2018 0:00,9/7/2019 0:00,13,Jupyter Notebook,,0,0
amitkaps/recommendation,73704950,350,140,62,4,0,23,21,25,0,0,63150,FALSE,11/14/2016 0:00,3/16/2023 0:00,76,Jupyter Notebook,,46,0
harschht/The-Seer,357986360,3,1,121,0,0,0,0,0,0,0,33190,FALSE,4/14/2021 0:00,9/9/2021 0:00,5,Python,,0,0
SciML/StokesDiffEq.jl,71646189,3,7,39,5,1,0,1,5,0,1,27,TRUE,10/22/2016 0:00,1/27/2023 0:00,75,Julia,,6,1
kubrakurt/machine_learning_resources,358771916,9,2,66,0,0,0,0,0,0,0,8500,FALSE,4/17/2021 0:00,5/26/2022 0:00,13,Jupyter Notebook,,0,0
spatial-computing/strabo-text-recognition-deep-learning,121544072,7,9,44,4,1,0,0,1,2,0,60184,FALSE,2/14/2018 0:00,7/22/2022 0:00,53,C++,,1,2
deepbands/deep-learning-datasets-maker,436812794,27,5,64,2,0,3,0,4,4,2,156,FALSE,12/10/2021 0:00,3/16/2023 0:00,15,Python,,4,6
henighan/deeprl-intro,178611027,7,1,118,0,0,3,0,0,0,0,517,FALSE,3/30/2019 0:00,2/13/2020 0:00,11,Python,,0,0
huangyueranbbc/ClassificationModelForAmazonReviewsDemo,101047840,2,3,2,0,0,0,0,0,0,0,11,FALSE,8/22/2017 0:00,3/11/2022 0:00,55,Java,,0,0
amitdivekar30/Multiple_Linear_Regression_by_python,249676447,1,1,2,0,0,0,0,0,0,0,56,FALSE,3/24/2020 0:00,3/24/2020 0:00,0,Python,,0,0
zwexcelwang/machine-learning-als,219427046,1,1,9,0,0,2,1,0,0,0,27158,FALSE,11/4/2019 0:00,5/29/2021 0:00,18,Python,,1,0
jamesdhope/intent-based-chatbot-trained-using-tflearn,98576157,2,3,4,0,0,0,0,0,1,0,3584,FALSE,7/27/2017 0:00,12/3/2020 0:00,41,Jupyter Notebook,,0,1
sergiocalde94/Arvato-Customer-Segmentation,254414474,2,1,8,0,0,4,3,1,0,0,4955,FALSE,4/9/2020 0:00,2/3/2021 0:00,10,Jupyter Notebook,,4,0
RonLek/FastV2C-HandNet,228998897,8,2,31,0,0,0,0,0,4,8,46502,FALSE,12/19/2019 0:00,12/25/2020 0:00,12,Python,,0,12
nla-group/fABBA,404623940,22,3,312,2,0,0,0,1,0,1,390361,FALSE,9/9/2021 0:00,1/20/2023 0:00,16,Python,,1,1
mhrnz/Security-and-Privacy-in-Machine-Learning,324944285,2,1,28,0,0,2,0,0,0,0,8876,FALSE,12/28/2020 0:00,3/13/2023 0:00,27,Jupyter Notebook,,0,0
csm-kr/faster_rcnn_pytorch,433372265,3,2,132,0,0,0,1,5,1,2,12435,FALSE,11/30/2021 0:00,11/14/2022 0:00,12,Python,,6,3
andriyadi/StarWars-Chars-AIClassifier,228945130,6,3,5,0,0,0,0,0,0,0,38281,FALSE,12/19/2019 0:00,1/29/2022 0:00,25,Jupyter Notebook,,0,0
amaan-ai/Restaurant-Reviews-Sentiment-Analysis,299349741,2,1,53,0,0,0,0,0,0,0,10357,FALSE,9/28/2020 0:00,2/8/2022 0:00,17,Python,,0,0
