smells,bugs,vulnerabilities,security_hotspots,lines_of_code,comments,comments_density,debt,smells_minor,smells_major,smells_critical,smells_blocker,smells_info,bugs_minor,bugs_major,bugs_critical,bugs_blocker,bugs_info,vulnerabilities_minor,vulnerabilities_major,vulnerabilities_critical,vulnerabilities_blocker,vulnerabilities_info,hotspots_minor,hotspots_major,hotspots_critical,hotspots_blocker,hotspots_info
494.0,2.0,0.0,0.0,18811.0,7979.0,29.783501306457634,2737.0,334.0,69.0,91.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382.0,11.0,0.0,3.0,10888.0,7287.0,40.09353507565337,2513.0,81.0,203.0,98.0,0.0,0.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2.0,0.0,0.0,0.0,338.0,6.0,1.744186046511628,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,0.0,0.0,2.0,1403.0,828.0,37.11340206185567,668.0,26.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13.0,0.0,0.0,0.0,174.0,41.0,19.069767441860467,52.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,342.0,129.0,27.388535031847134,18.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,1.0,0.0,0.0,6781.0,1236.0,15.417238368467007,407.0,37.0,14.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,2.0,1024.0,15.0,1.4436958614051971,26.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8.0,0.0,0.0,0.0,551.0,131.0,19.208211143695014,88.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,1.0,0.0,19.0,3671.0,65.0,1.73982869379015,371.0,5.0,9.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
539.0,4.0,0.0,33.0,9980.0,2303.0,18.749491166653097,3051.0,347.0,134.0,50.0,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
0.0,0.0,0.0,0.0,178.0,23.0,11.442786069651742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,2.0,0.0,18.0,2994.0,800.0,21.085925144965735,737.0,62.0,49.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,3.0,0.0
24.0,0.0,0.0,0.0,148.0,92.0,38.333333333333336,126.0,5.0,13.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,378.0,59.0,13.501144164759726,64.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,7.0,0.0,0.0,527.0,333.0,38.72093023255814,106.0,7.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,9.0,0.0,47.0,6224.0,930.0,12.999720436119652,894.0,22.0,48.0,26.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,45.0,0.0,0.0
445.0,11.0,0.0,0.0,13224.0,2820.0,17.57666417352281,2907.0,154.0,205.0,86.0,0.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,1.0,0.0,5.0,4269.0,1403.0,24.735543018335683,217.0,28.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
14.0,22.0,0.0,0.0,1265.0,622.0,32.96237413884472,289.0,4.0,5.0,5.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,178.0,86.0,32.57575757575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,1.0,173.0,43.0,19.90740740740741,38.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
498.0,17.0,0.0,3.0,7876.0,2331.0,22.83726854119722,2679.0,347.0,100.0,51.0,0.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
38.0,5.0,0.0,0.0,678.0,317.0,31.85929648241206,241.0,30.0,5.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,98.0,24.0,19.672131147540984,15.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,13.0,0.0,12.0,2364.0,1288.0,35.26834611171961,635.0,24.0,38.0,35.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0
235.0,411.0,0.0,3.0,24999.0,4444.0,15.093570627993072,3845.0,90.0,88.0,57.0,0.0,0.0,12.0,342.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
158.0,8.0,0.0,7.0,3167.0,1056.0,25.005919962112245,876.0,91.0,36.0,31.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
3.0,0.0,0.0,0.0,505.0,19.0,3.6259541984732824,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,259.0,63.0,19.565217391304348,37.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
64.0,0.0,0.0,0.0,1136.0,146.0,11.388455538221528,198.0,44.0,9.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.0,5.0,0.0,3.0,2174.0,594.0,21.459537572254337,1100.0,32.0,59.0,24.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2.0,0.0,0.0,0.0,142.0,120.0,45.80152671755725,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,3.0,2033.0,258.0,11.261457878655609,162.0,5.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
78.0,9.0,0.0,0.0,285.0,129.0,31.15942028985507,374.0,0.0,62.0,15.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,1.0,203.0,59.0,22.519083969465647,26.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27.0,5.0,0.0,0.0,739.0,478.0,39.27691043549713,167.0,11.0,13.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
